inchikey,smiles_canonical,algae_growth_ec50_value_log,bcf_value_log,bee_acute_contact_ld50_value_log,bee_acute_oral_ld50_value_log,bird_acute_oral_ld50_value_log,daphnia_acute_ec50_value_log,earthworm_acute_lc50_value_log,fish_acute_lc50_value_log,rat_acute_oral_ld50_value_log,skin_sensitization_value_log,soil_dt50_value_log,soil_koc_value_log,presence_count
XDDAORKBJWWYJS-UHFFFAOYSA-N,O=C(O)CNCP(=O)(O)O,-3.7103680017991847,,1.8769766700391257,,3.4817475819357355,-3.444458330070676,3.6989700043360187,-3.9442700050359605,1.6273339924446901,,1.3521825181113625,3.32,9
ODCWYMIRDDJXKW-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NCC)n1,-5.9998428893960405,0.56,1.9853815602319969,,3.6665179805548807,-5.010634457958779,,-3.621769653153999,0.6838544071949755,,,2.1,8
BTJIUGUIPKRLHP-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)cc1,-4.487000771413988,0.71,,1.6989700043360187,2.991946142151657,-4.104510408470391,,-3.760799248773465,0.08734994795145434,,,2.37,8
MZHCENGPTKEIGP-UHFFFAOYSA-N,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,-3.06815811329529,,1.6989700043360187,,2.6496987814641604,-4.605051220375749,,-4.643717205899147,0.2758826417729469,,,2.23,7
GYSSRZJIHXQEHQ-UHFFFAOYSA-N,CC1=C(C(=O)Nc2ccccc2)SCCO1,-5.565011135872761,,,1.9528892649109302,3.4832597899059556,-3.530082458707575,,-4.819151577969414,0.26227734572293837,,,2.41,7
SBPBAQFWLVIOKP-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,,3.18,-1.1674910872937636,,1.5025171827078616,,0.9294189257142927,,-0.5093099296819205,,1.0969100130080565,3.7,7
OQMBBFQZGJFLBU-UHFFFAOYSA-N,CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],-8.506549266826738,,,1.8195439355418688,3.2261702328063318,-6.017956120944038,,-6.149053455020432,1.1415101105798173,,,5.0,7
WVQBLGZPHOPPFO-UHFFFAOYSA-N,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-6.035396602471344,,2.041392685158225,,3.6665179805548807,-4.14902310168271,,-4.41258774960848,0.8904307995251137,,,2.46,7
TWFZGCMQGLPBSX-UHFFFAOYSA-N,COC(=O)Nc1nc2ccccc2[nH]1,,0.4,1.6989700043360187,,3.4232755778778814,-5.933991220739753,,-5.461248160966473,1.5594293049150574,,,2.35,7
SUSRORUBZHMPCO-UHFFFAOYSA-N,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],-8.356645006228977,,2.6989700043360187,,3.334833642184431,-5.988668220934382,,-6.189418130653511,1.2734437086992298,,,4.0,7
PNVJTZOFSHSLTO-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc(SC)c(C)c1,,2.52,-0.5114492834995558,,0.9764760849658364,-7.675591527224144,,-5.231421404349929,-0.18880356977965215,,,3.18,7
ZNOLGFHPUIJIMJ-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-5.5887858058039805,1.95,,-1.7212463990471711,1.9881798458263413,-7.42563466591307,,,-0.044567008951313464,,,2.63,7
BGZZWXTVIYUUEY-UHFFFAOYSA-N,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],-6.6776763868627045,,,1.6989700043360187,3.6989700043360187,-3.107895295620624,,-2.335051101785066,0.4950364218236089,,,1.78,7
YVGGHNCTFXOJCH-UHFFFAOYSA-N,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,,4.29,0.4629966120280561,,3.1333999479042016,-8.497887375768684,,-7.566378686482708,-0.6069181417613609,,,5.31,7
OCJBOOLMMGQPQU-UHFFFAOYSA-N,Clc1ccc(Cl)cc1,-3.2749589466032507,2.62,,,3.2062860444124324,-5.319162609095304,,-4.484671569284789,0.5347093552264577,,,2.65,7
KLSJWNVTNUYHDU-UHFFFAOYSA-N,Nc1nc[nH]n1,,0.49,2.025490196439559,,3.3324384599156054,-3.6692321219853543,,-2.477346595746441,1.1168880580695648,,,1.25,7
AWYFNIZYMPNGAI-UHFFFAOYSA-N,S=C(S)NCCNC(=S)S,-4.252529479707973,,1.398347380085831,,3.383353936856627,-5.444533833272628,,-4.974659855259612,0.7799567312918989,,,2.706666666666667,7
