inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
BGNQYGRXEXDAIQ-UHFFFAOYSA-N,CCOC(=O)c1cnn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,CCOC(=O)c1cnn(C)c1[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2,93697-74-6,,,algae_growth_ec50,0.0009599999999999999,mg/L,-8.634829558969402,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,734825,2009,1,single,,
PXMNMQRDXWABCY-UHFFFAOYSA-N,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn2cncn2,107534-96-3,,,algae_growth_ec50,3.409164120426003,mg/L,-4.954695738729518,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2487170,2019,2,geomean,0.3943863173941871,
CHIFOSRWCNZCFN-UHFFFAOYSA-N,CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],CCC(CC)Nc1c(cc(C)c(C)c1[N+]([O-])=O)[N+]([O-])=O,40487-42-1,,,algae_growth_ec50,0.18077102739773465,mg/L,-6.191790038909523,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,206223,2002,6,geomean,2.0063614617664745,high_cv
BTKXLQSCEOHKTF-SREVYHEPSA-N,CCCC/C=C\CCCCCCCCCCOC(C)=O,CCCC\C=C/CCCCCCCCCCOC(C)=O,34010-21-4,,,algae_growth_ec50,103.74,mg/L,-3.4346967548310245,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,241665,2007,1,single,,
MLYYVTUWGNIJIB-UHFFFAOYSA-N,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,[Na+].Cc1sc(SCC2=C(N3C(SC2)C(NC(=O)Cn4cnnn4)C3=O)C([O-])=O)nn1,27164-46-1,,,algae_growth_ec50,1000.0,mg/L,-2.657084563104817,,Selenastrum capricornutum,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Selenastrum;Selenastrum capricornutum,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2011358,2012,1,single,,
QSNSCYSYFYORTR-UHFFFAOYSA-N,Nc1ccc(Cl)cc1,Nc1ccc(Cl)cc1,106-47-8,,,algae_growth_ec50,3.4294047081777,mg/L,-4.568649528541699,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,108028,2021,3,geomean,0.5761067595933647,high_cv
NUIURNJTPRWVAP-UHFFFAOYSA-N,Cc1cc(-c2ccc(N)c(C)c2)ccc1N,Cc1cc(ccc1N)c2ccc(N)c(C)c2,119-93-7,,,algae_growth_ec50,5.585696017507576,mg/L,-4.579527555758928,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,29277,2021,2,geomean,0.4872500509016546,
NFACJZMKEDPNKN-UHFFFAOYSA-N,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,52-68-6,,,algae_growth_ec50,117.7,mg/L,-3.3373321397478435,,Selenastrum capricornutum,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Selenastrum;Selenastrum capricornutum,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2142974,2013,1,single,,
QNBTYORWCCMPQP-JXAWBTAJSA-N,COc1ccc(/C(=C\C(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC,COc1ccc(cc1OC)C(=C\C(=O)N2CCOCC2)/c3ccc(Cl)cc3,110488-70-5,,,algae_growth_ec50,47.46,mg/L,-3.911522066315785,,Chlorella vulgaris,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Oocystaceae;Chlorella;Chlorella vulgaris,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2344349,2016,1,single,,
MUHBBHLZPHKTTR-VUMGMMBSSA-N,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,60-54-8,,,algae_growth_ec50,2.6985181118532444,mg/L,-5.216407522397027,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2178581,2014,2,geomean,0.2848960171023839,
