inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
YVGGHNCTFXOJCH-UHFFFAOYSA-N,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,50-29-3,"p,p'-DDT",,bcf,19498.445997580457,L/kg,4.29,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID4020375,,1,single,,
MRUDNSFOFOQZDA-UHFFFAOYSA-N,O=C(O)c1c(Cl)cccc1Cl,OC(=O)c1c(Cl)cccc1Cl,50-30-6,"2,6-Dichlorobenzoic acid",,bcf,1.8197008586099834,L/kg,0.26,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID0024979,,1,single,,ionizable
XZIDTOHMJBOSOX-UHFFFAOYSA-N,O=C(O)c1c(Cl)ccc(Cl)c1Cl,OC(=O)c1c(Cl)c(Cl)ccc1Cl,50-31-7,"2,3,6-Trichlorobenzoic acid",,bcf,3.4673685045253166,L/kg,0.54,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID6040296,,1,single,,ionizable
UFBJCMHMOXMLKC-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,[O-][N+](=O)c1cc(ccc1O)[N+]([O-])=O,51-28-5,"2,4-Dinitrophenol",,bcf,3.715352290971725,L/kg,0.57,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID0020523,,1,single,,ionizable
PNVJTZOFSHSLTO-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc(SC)c(C)c1,Cc1cc(ccc1SC)OP(=S)(OC)OC,55-38-9,Fenthion,,bcf,331.1311214825911,L/kg,2.52,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID8020620,,1,single,,
VZGDMQKNWNREIO-UHFFFAOYSA-N,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,56-23-5,Carbon tetrachloride,,bcf,7.413102413009175,L/kg,0.87,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID8020250,,1,single,,
LCCNCVORNKJIRZ-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,56-38-2,Parathion,,bcf,97.72372209558107,L/kg,1.99,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID7021100,,1,single,,ionizable
OSASVXMJTNOKOY-UHFFFAOYSA-N,CC(C)(O)C(Cl)(Cl)Cl,OC(C(Cl)(Cl)Cl)(C)C,57-15-8,"1,1,1-Trichloro-2-methyl-2-propanol",,bcf,1.6982436524617444,L/kg,0.23,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID1041217,,1,single,,
BIWJNBZANLAXMG-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,57-74-9|5103-71-9,Chlordane,,bcf,22559.700688435587,L/kg,4.35333333333333,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID7020267|DTXSID6038326,,1,single,,
JLYXXMFPNIAWKQ-GNIYUCBRSA-N,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|",58-89-9|319-84-6|319-85-7|319-86-8|608-73-1,Lindane,,bcf,1096.4781961431863,L/kg,3.0400000000000005,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID2020686|DTXSID2020684|DTXSID7020685|DTXSID5024134|DTXSID7020687,,1,single,,
CFKMVGJGLGKFKI-UHFFFAOYSA-N,Cc1cc(O)ccc1Cl,Cc1cc(O)ccc1Cl,59-50-7,4-Chloro-3-methylphenol,,bcf,8.511380382023766,L/kg,0.93,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID4021717,,1,single,,ionizable
RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,CCOCC,60-29-7,Diethyl ether,,bcf,5.370317963702527,L/kg,0.73,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID3021720,,1,single,,
MCWXGJITAZMZEV-UHFFFAOYSA-N,CNC(=O)CSP(=S)(OC)OC,CNC(=O)CSP(=S)(OC)OC,60-51-5,Dimethoate,,bcf,1.5848931924611136,L/kg,0.2,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID7020479,,1,single,,
KLSJWNVTNUYHDU-UHFFFAOYSA-N,Nc1nc[nH]n1,Nc1[n]c[nH][n]1,61-82-5,Amitrole,,bcf,3.0902954325135905,L/kg,0.49,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID0020076,,1,single,,ionizable
CPJSUEIXXCENMM-UHFFFAOYSA-N,CCOc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(cc1)OCC,62-44-2,Phenacetin,,bcf,30.19951720402016,L/kg,1.48,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID1021116,,1,single,,
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Nc1ccccc1,Nc1ccccc1,62-53-3,Aniline,,bcf,1.62181009735893,L/kg,0.21,,Oncorhynchus mykiss,Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,,bioaccumulation,NIEHS OPERA OPERA Training,https://github.com/NIEHS/OPERA,DTXSID8020090,,1,single,,ionizable
