inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
AAEVYOVXGOFMJO-UHFFFAOYSA-N,CSc1nc(NC(C)C)nc(NC(C)C)n1,CSc1nc(NC(C)C)nc(NC(C)C)n1,7287-19-6,"N2,N4-Bis(1-methylethyl)-6-(methylthio)-1,3,5-triazine-2,4-diamine",,bee_acute_contact_ld50,96.69,ug/bee,1.9853815602319969,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,contact,48.0,mortality,ApisTox-ECOTOX,10.1038/s41597-024-04232-w,4929,1961,1,single,,
ABOOPXYCKNFDNJ-UHFFFAOYSA-N,CC(Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)O,CC(Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)O,76578-12-6,2-[4-[(6-Chloro-2-quinoxalinyl)oxy]phenoxy]propanoic acid,,bee_acute_contact_ld50,50.0,ug/bee,1.6989700043360187,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,contact,48.0,mortality,ApisTox-ECOTOX,10.1038/s41597-024-04232-w,178795,1959,1,single,,
ACMXQHFNODYQAT-UHFFFAOYSA-N,O=C(Cc1ccccc1)N=C(NOCC1CC1)c1c(C(F)(F)F)ccc(F)c1F,O=C(Cc1ccccc1)N=C(NOCC1CC1)c1c(C(F)(F)F)ccc(F)c1F,180409-60-3,Cyflufenamid (Ref: NF 149),,bee_acute_contact_ld50,100.0,ug/bee,2.0,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,contact,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,9844539,2006,1,single,,
AEHJMNVBLRLZKK-UHFFFAOYSA-N,FC(F)(F)c1ccc(OCCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)nc1,FC(F)(F)c1ccc(OCCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)nc1,179101-81-6,Pyridalyl (Ref: S-1812),,bee_acute_contact_ld50,15.58,ug/bee,1.1925674533365456,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,contact,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,11488729,2000,1,single,,
AHJKRLASYNVKDZ-UHFFFAOYSA-N,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,72-54-8,"1,1'-(2,2-Dichloroethylidene)bis[4-chlorobenzene]",,bee_acute_contact_ld50,161.0,ug/bee,2.2068258760318495,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,contact,48.0,mortality,ApisTox-ECOTOX,10.1038/s41597-024-04232-w,6294,1934,1,single,,
AIGRXSNSLVJMEA-UHFFFAOYSA-N,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,2104-64-5,P-Phenylphosphonothioic acid O-ethyl O-(4-nitrophenyl) ester ,,bee_acute_contact_ld50,0.245,ug/bee,-0.6108339156354675,toxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,contact,48.0,mortality,ApisTox-ECOTOX,10.1038/s41597-024-04232-w,16421,1962,1,single,,
AIKKULXCBHRFOS-UHFFFAOYSA-N,COP(=S)(OC)SCC(=O)N(C)C=O,COP(=S)(OC)SCC(=O)N(C)C=O,2540-82-1,Formothion (Ref: SAN 6913I),,bee_acute_contact_ld50,0.5,ug/bee,-0.3010299956639812,toxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,contact,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,17345,1857,1,single,,
AIMMSOZBPYFASU-UHFFFAOYSA-N,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2OCC(F)(F)F)n1,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2OCC(F)(F)F)n1,145099-21-4,Trifloxysulfuron (Ref: CGA 292230),,bee_acute_contact_ld50,35.35533905932737,ug/bee,1.5484550065040281,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,contact,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,9955886,2005,2,geomean,0.4714045207910317,
AKTQJCBOGPBERP-UHFFFAOYSA-N,Cc1cccc(C(=O)O)c1S(=O)(=O)NC(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1,Cc1cccc(C(=O)O)c1S(=O)(=O)NC(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1,135990-29-3,Triflusulfuron,,bee_acute_contact_ld50,50.0,ug/bee,1.6989700043360187,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,contact,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,86416,1994,1,single,,
ALZOLUNSQWINIR-UHFFFAOYSA-N,Cc1cnc2c(C(=O)O)c(Cl)ccc2c1,Cc1cnc2c(C(=O)O)c(Cl)ccc2c1,90717-03-6,Quinmerac (Ref: BAS 518H),,bee_acute_contact_ld50,50.0,ug/bee,1.6989700043360187,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,contact,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,91749,1990,1,single,,
AMEKQAFGQBKLKX-UHFFFAOYSA-N,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,5259-88-1,Oxycarboxin (Ref: F 461),,bee_acute_contact_ld50,500.0,ug/bee,2.6989700043360187,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,contact,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,21330,1971,1,single,,
AMFGTOFWMRQMEM-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1,CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1,24017-47-8,Triazophos (Ref: HOE 002960 ),,bee_acute_contact_ld50,0.1615,ug/bee,-0.7918274733328783,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,contact,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,32184,1973,1,single,,
