inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
ABLZXFCXXLZCGV-UHFFFAOYSA-N,O=[PH](O)O,O=[PH]([O-])[O-].[Na+].[Na+],13708-85-5 ,Disodium phosphonate (Ref: IKF-916 25 SC),,bee_acute_oral_ld50,500.0000000000003,ug/bee,2.6989700043360187,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,oral,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,6336603,1937,3,geomean,0.0,
ADDQHLREJDZPMT-UHFFFAOYSA-N,CC(Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1)C(=O)N(C)c1ccccc1F,CC(Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1)C(=O)N(C)c1ccccc1F,256412-89-2,Metamifop (Ref: DBH-129),,bee_acute_oral_ld50,50.0,ug/bee,1.6989700043360187,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,oral,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,59558935,2007,1,single,,
AGKSTYPVMZODRV-UHFFFAOYSA-N,Clc1ccc(CSC(Cn2cncn2)=Nc2ccc(Cl)cc2Cl)cc1,Clc1ccc(CSC(Cn2cncn2)=Nc2ccc(Cl)cc2Cl)cc1,86598-92-7,Imibenconazole (Ref: HF 6305),,bee_acute_oral_ld50,500.0,ug/bee,2.6989700043360187,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,oral,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,93483,2006,1,single,,
AHTPATJNIAFOLR-UHFFFAOYSA-N,COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,79277-27-3,Thifensulfuron-methyl (Ref: DPX M6316),,bee_acute_oral_ld50,36.2,ug/bee,1.5587085705331658,toxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,oral,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,73674,1990,1,single,,
AMRQXHFXNZFDCH-UHFFFAOYSA-N,CCNC(=O)C(C)OC(=O)Nc1ccccc1,CCNC(=O)C(C)OC(=O)Nc1ccccc1,16118-49-3,Carbetamide (Ref: RP 11561),,bee_acute_oral_ld50,50.0,ug/bee,1.6989700043360187,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,oral,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,27689,1972,1,single,,
AMSPWOYQQAWRRM-UHFFFAOYSA-N,COc1cc(C)c(C(=O)c2c(OC)ccc(Br)c2C)c(OC)c1OC,COc1cc(C)c(C(=O)c2c(OC)ccc(Br)c2C)c(OC)c1OC,220899-03-6,"(3-Bromo-6-methoxy-2-methylphenyl)(2,3,4-trimethoxy-6-methylphenyl)methanone",,bee_acute_oral_ld50,68.35,ug/bee,1.834738518903841,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,oral,48.0,mortality,ApisTox-ECOTOX,10.1038/s41597-024-04232-w,6451057,2006,1,single,,
BAFQDKPJKOLXFZ-UHFFFAOYSA-N,COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,950-35-6,"Phosphoric acid, Dimethyl 4-nitrophenyl ester",,bee_acute_oral_ld50,0.03,ug/bee,-1.5228787452803376,toxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,oral,48.0,mortality,ApisTox-ECOTOX,10.1038/s41597-024-04232-w,13708,1950,1,single,,
BBXXLROWFHWFQY-UHFFFAOYSA-N,CCCCc1c(C)[nH]c(NCC)nc1=O,CCCCc1c(C)[nH]c(NCC)nc1=O,23947-60-6,Ethirimol (Ref: PP149),,bee_acute_oral_ld50,5.0,ug/bee,0.6989700043360189,toxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,oral,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,32152,2005,1,single,,
BCTQJXQXJVLSIG-UHFFFAOYSA-N,Cc1ccccc1C(=O)Nc1cccc(OC(C)C)c1,Cc1ccccc1C(=O)Nc1cccc(OC(C)C)c1,55814-41-0,Mepronil (Ref: B1 2459),,bee_acute_oral_ld50,50.0,ug/bee,1.6989700043360187,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,oral,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,41632,1988,1,single,,
BGZZWXTVIYUUEY-UHFFFAOYSA-N,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],72178-02-0,Fomesafen (Ref: PP 021),,bee_acute_oral_ld50,50.0,ug/bee,1.6989700043360187,nontoxic,Apis mellifera,Animalia;Arthropoda;Insecta;Hymenoptera;Apidae;Apis;Apis mellifera,,oral,48.0,mortality,ApisTox-PPDB,10.1038/s41597-024-04232-w,51556,1985,1,single,,
