inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
UTBJLKDVQNCKAS-UHFFFAOYSA-N,Cn1cc(C(N)=O)c(C(F)(F)F)n1,CN1C=C(C(=N1)C(F)(F)F)C(=O)N,00361213-25-0,"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",,bird_acute_oral_ld50,1126.277052949229,mg/kg bw,3.051645235778875,,Colinus virginianus,Animalia;Chordata;Aves;Colinus virginianus,in_vivo,oral,24.0,mortality,EFSA OpenFoodTox,EFSA Chemical Hazards Database,1255,2010,2,geomean,0.8051726851467257,high_cv
BXJHOKLLMOYSRQ-WFKFFMJQSA-N,CCCC/C=C/CC/C=C\CCCCCCOC(C)=O,CCCC/C=C/CC/C=C\CCCCCCOC(=O)C,00353042-79-8,"(7Z, 11E)-Hexadecadien-1-yl Acetate",,bird_acute_oral_ld50,2892.5775120078847,mg/kg bw,3.4612850055101374,,Avian unspecified,Animalia;Chordata;Aves;Avian unspecified,in_vivo,oral,24.0,mortality,EFSA OpenFoodTox,EFSA Chemical Hazards Database,2438,2014,5,geomean,0.9524391048022255,high_cv
CSWBSLXBXRFNST-MQQKCMAXSA-N,C/C=C/C=C/CCCCCCCO,C/C=C/C=C/CCCCCCCO,00333956-49-9,"(E,E)-8,10-Dodecadien-1-ol",,bird_acute_oral_ld50,2049.9999999999973,mg/kg bw,3.311753861055754,,Avian unspecified,Animalia;Chordata;Aves;Avian unspecified,in_vivo,oral,24.0,mortality,EFSA OpenFoodTox,EFSA Chemical Hazards Database,2438,2014,3,geomean,0.0,
SUCYDSJQVVGOIW-AATRIKPKSA-N,CCC/C=C/CCCCCCCOC(C)=O,CCC/C=C/CCCCCCCOC(=O)C,00338363-29-0,(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,,bird_acute_oral_ld50,2121.3203435596424,mg/kg bw,3.326606256887672,,Avian unspecified,Animalia;Chordata;Aves;Avian unspecified,in_vivo,oral,24.0,mortality,EFSA OpenFoodTox,EFSA Chemical Hazards Database,2438,2014,2,geomean,0.0831890330807703,
YEQONIQGGSENJQ-PLNGDYQASA-N,CCC/C=C\CCCCCCCO,CCC/C=C\CCCCCCCO,00340642-40-8,(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,,bird_acute_oral_ld50,2024.845673131658,mg/kg bw,3.3063919283598677,,Avian unspecified,Animalia;Chordata;Aves;Avian unspecified,in_vivo,oral,24.0,mortality,EFSA OpenFoodTox,EFSA Chemical Hazards Database,2438,2014,2,geomean,0.017459426695964137,
SUCYDSJQVVGOIW-WAYWQWQTSA-N,CCC/C=C\CCCCCCCOC(C)=O,CCC/C=C\CCCCCCCOC(=O)C,00328079-04-1,(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,,bird_acute_oral_ld50,2121.3203435596424,mg/kg bw,3.326606256887672,,Avian unspecified,Animalia;Chordata;Aves;Avian unspecified,in_vivo,oral,24.0,mortality,EFSA OpenFoodTox,EFSA Chemical Hazards Database,2438,2014,2,geomean,0.0831890330807703,
NIOPZPCMRQGZCE-UITAMQMPSA-N,C/C=C\C(=O)Oc1c(C(C)CCCCCC)cc([N+](=O)[O-])cc1[N+](=O)[O-],CCCCCCC(C)C1=CC(=CC(=C1OC(=O)/C=C\C)[N+](=O)[O-])[N+](=O)[O-],00339300-45-3,"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",,bird_acute_oral_ld50,1249.9553552054927,mg/kg bw,3.0968945015407328,,Anas platyrhynchos,Animalia;Chordata;Aves;Anas platyrhynchos,in_vivo,oral,24.0,mortality,EFSA OpenFoodTox,EFSA Chemical Hazards Database,2435,2014,3,geomean,0.6817483753101925,high_cv
NIOPZPCMRQGZCE-WEVVVXLNSA-N,C/C=C/C(=O)Oc1c(C(C)CCCCCC)cc([N+](=O)[O-])cc1[N+](=O)[O-],CCCCCCC(C)C1=CC(=CC(=C1OC(=O)/C=C/C)[N+](=O)[O-])[N+](=O)[O-],0036119-92-2,"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",,bird_acute_oral_ld50,2473.0,mg/kg bw,3.3932241163612975,,Anas platyrhynchos,Animalia;Chordata;Aves;Anas platyrhynchos,in_vivo,oral,24.0,mortality,EFSA OpenFoodTox,EFSA Chemical Hazards Database,2435,2014,1,single,,
AMTITFMUKRZZEE-WAYWQWQTSA-N,CCCC/C=C\CCCCCCCCCC=O,CCCC/C=C\CCCCCCCCCC=O,00353939-28-9,(Z)-11-Hexadecenal,,bird_acute_oral_ld50,2250.0000000000005,mg/kg bw,3.3521825181113627,,Avian unspecified,Animalia;Chordata;Aves;Avian unspecified,in_vivo,oral,24.0,mortality,EFSA OpenFoodTox,EFSA Chemical Hazards Database,2438,2014,2,geomean,0.0,
UOORRWUZONOOLO-UHFFFAOYSA-N,ClC=CCCl,ClCC=CCl,003542-75-6,"1,3-Dichloropropene",,bird_acute_oral_ld50,240.75477659066976,mg/kg bw,2.3815749123132552,,Colinus virginianus,Animalia;Chordata;Aves;Colinus virginianus,in_vivo,oral,24.0,mortality,EFSA OpenFoodTox,EFSA Chemical Hazards Database,1083,2006,3,geomean,1.2758665750543463,high_cv
MWKFXSUHUHTGQN-UHFFFAOYSA-N,CCCCCCCCCCO,CCCCCCCCCCO,003112-30-1,1-Decanol,,bird_acute_oral_ld50,4640.0,mg/kg bw,3.6665179805548807,,Anas platyrhynchos,Animalia;Chordata;Aves;Anas platyrhynchos,in_vivo,oral,24.0,mortality,EFSA OpenFoodTox,EFSA Chemical Hazards Database,1234,2010,1,single,,
