inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,ClCCCl,107-06-2,,,daphnia_acute_ec50,159.05772445701265,mg/L,-2.789533934449272,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2708074,2023,7,geomean,0.44253106124328556,
ZPQOPVIELGIULI-UHFFFAOYSA-N,Clc1cccc(Cl)c1,Clc1cccc(Cl)c1,541-73-1,,,daphnia_acute_ec50,3.776181582704825,mg/L,-4.587207779354655,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2388733,2017,5,geomean,0.4517374123480998,
AVFZOVWCLRSYKC-UHFFFAOYSA-N,CN1CCCC1,CN1CCCC1,120-94-5,,,daphnia_acute_ec50,36.40690606798456,mg/L,-3.368690408691902,,Daphnia pulex,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia pulex,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,100630,2020,3,geomean,1.72856384999381,"high_cv,species_secondary"
HWATZEJQIXKWQS-UHFFFAOYSA-N,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(F)(F)F)n1,COc1cc(OC)nc(NC(=O)N[S](=O)(=O)c2ncccc2C(F)(F)F)n1,104040-78-0,,,daphnia_acute_ec50,106.0,mg/L,-3.5843430931969826,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2103311,2013,1,single,,
RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,103-90-2,,,daphnia_acute_ec50,11.895687952358825,mg/L,-4.103769486455101,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2051746,2012,12,geomean,0.7805928230959611,high_cv
LCCNCVORNKJIRZ-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,56-38-2,,,daphnia_acute_ec50,0.0016103335166084882,mg/L,-8.257026448921719,,Daphnia pulex,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia pulex,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,606176,2012,13,geomean,0.9010127773441802,"high_cv,species_secondary"
DQKWXTIYGWPGOO-UHFFFAOYSA-N,CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,CCCCCCCC(=O)Oc1c(Br)cc(cc1Br)C#N,1689-99-2,,,daphnia_acute_ec50,0.1300433982679243,mg/L,-6.489015558823929,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2019876,2012,46,geomean,2.5961672869700294,"extreme_variance,high_cv,species_secondary"
KAATUXNTWXVJKI-UHFFFAOYSA-N,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,52315-07-8,,,daphnia_acute_ec50,0.0004234585797621563,mg/L,-8.991314801703476,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,726356,2008,8,geomean,0.5581810575073951,high_cv
KEQGZUUPPQEDPF-UHFFFAOYSA-N,CC1(C)C(=O)N(Cl)C(=O)N1Cl,CC1(C)N(Cl)C(=O)N(Cl)C1=O,118-52-5,,,daphnia_acute_ec50,0.551901089711888,mg/L,-5.550351904038376,,Daphnia magna,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2117077,2013,4,geomean,0.3167626330748735,
BIWJNBZANLAXMG-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,12789-03-6,,,daphnia_acute_ec50,0.07599145795038298,mg/L,-6.727544881011251,,Daphnia pulex,Animalia;Arthropoda;Crustacea;nan;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia pulex,in_vivo,aquatic,48.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,601574,2012,3,geomean,0.6760970998057722,"high_cv,species_secondary"
