inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
SAAQCXUGTMJCCJ-UHFFFAOYSA-N,O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)cn1,C1=C(Cl)C=NC(=C1)CN2C(=N[N+](=O)[O-])NCC2,138261-41-3,imidacloprid,,earthworm_acute_lc50,12.3,mg/kg soil,1.089905111439398,,Eisenia fetida,Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae;Eisenia;Eisenia fetida,OECD 207,soil,336.0,mortality,Kotli et al. 2024 (QDB.258),https://doi.org/10.15152/QDB.258,992.T,2024,1,single,,
SBPBAQFWLVIOKP-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,2921-88-2,chlorpyrifos,,earthworm_acute_lc50,8.5,mg/kg soil,0.9294189257142927,,Eisenia fetida,Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae;Eisenia;Eisenia fetida,OECD 207,soil,336.0,mortality,Kotli et al. 2024 (QDB.258),https://doi.org/10.15152/QDB.258,869.T,2024,1,single,,
OWZREIFADZCYQD-UHFFFAOYSA-N,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,CC1(C)C(C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C=C(Br)Br,52918-63-5,deltamethrin,,earthworm_acute_lc50,150.0,mg/kg soil,2.1760912590556813,,Eisenia fetida,Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae;Eisenia;Eisenia fetida,OECD 207,soil,336.0,mortality,Kotli et al. 2024 (QDB.258),https://doi.org/10.15152/QDB.258,857.T,2024,1,single,,
FLTVCMACTPSSGY-UHFFFAOYSA-N,N#Cc1c([S+]([O-])C(F)(F)F)c(N)nn1-c1c(Cl)cc(Cl)cc1Cl,N#Cc1c(S(=O)C(F)(F)F)c(N)nn1-c2c(Cl)cc(Cl)cc2Cl,120068-37-3,fipronil,,earthworm_acute_lc50,45.0,mg/kg soil,1.6532125137753437,,Eisenia fetida,Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae;Eisenia;Eisenia fetida,OECD 207,soil,336.0,mortality,Kotli et al. 2024 (QDB.258),https://doi.org/10.15152/QDB.258,698.T,2024,1,single,,
LZGHIKQCORIFDW-UHFFFAOYSA-N,Cc1c(C(=O)Nc2cc(Cl)cc(C(=O)NC(C)C)c2Cl)nn(-c2ncccc2Cl)c1Br,Cc1c(C(=O)Nc2cc(Cl)cc(C(=O)NC(C)C)c2Cl)nn(-c3c(Cl)cccn3)c1Br,500008-45-7,chlorantraniliprole,,earthworm_acute_lc50,1200.0,mg/kg soil,3.0791812460476247,,Eisenia fetida,Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae;Eisenia;Eisenia fetida,OECD 207,soil,336.0,mortality,Kotli et al. 2024 (QDB.258),https://doi.org/10.15152/QDB.258,993.T,2024,1,single,,
XDDAORKBJWWYJS-UHFFFAOYSA-N,O=C(O)CNCP(=O)(O)O,C(C(=O)O)NCP(=O)(O)O,1071-83-6,glyphosate,,earthworm_acute_lc50,5000.0,mg/kg soil,3.6989700043360187,,Eisenia fetida,Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae;Eisenia;Eisenia fetida,OECD 207,soil,336.0,mortality,Kotli et al. 2024 (QDB.258),https://doi.org/10.15152/QDB.258,989.T,2024,1,single,,
MXWJVTOOROXGIU-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NC(C)C)n1,CCNC1=NC(=NC(=N1)Cl)NC(C)C,1912-24-9,atrazine,,earthworm_acute_lc50,80.0,mg/kg soil,1.9030899869919435,,Eisenia fetida,Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae;Eisenia;Eisenia fetida,OECD 207,soil,336.0,mortality,Kotli et al. 2024 (QDB.258),https://doi.org/10.15152/QDB.258,2899.T,2024,1,single,,
VOOCRSZCSBMRRF-UHFFFAOYSA-N,CS(=O)(=O)c1ccc([N+](=O)[O-])c(C(=O)C2CCCC(=O)C2=O)c1,CS(=O)(=O)c1ccc(c(c1)C(=O)C2=C(O)C(=O)CCC2)[N+](=O)[O-],104206-82-8,mesotrione,,earthworm_acute_lc50,650.0,mg/kg soil,2.8129133566428557,,Eisenia fetida,Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae;Eisenia;Eisenia fetida,OECD 207,soil,336.0,mortality,Kotli et al. 2024 (QDB.258),https://doi.org/10.15152/QDB.258,719.T,2024,1,single,,
UMGUWHJHKWNCHG-UHFFFAOYSA-N,COc1nc(C)nc(NS(=O)(=O)c2ccccc2Cl)n1,COc1nc(NS(=O)(=O)c2ccccc2Cl)nc(C)n1,64902-72-3,chlorsulfuron,,earthworm_acute_lc50,2000.0,mg/kg soil,3.3010299956639813,,Eisenia fetida,Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae;Eisenia;Eisenia fetida,OECD 207,soil,336.0,mortality,Kotli et al. 2024 (QDB.258),https://doi.org/10.15152/QDB.258,1737.T,2024,1,single,,
IAJOBQBIJHVGMQ-UHFFFAOYSA-N,CP(=O)(O)CCC(N)C(=O)O,CP(=O)(O)CCC(N)C(=O)O,51276-47-2,glufosinate,,earthworm_acute_lc50,120.0,mg/kg soil,2.0791812460476247,,Eisenia fetida,Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae;Eisenia;Eisenia fetida,OECD 207,soil,336.0,mortality,Kotli et al. 2024 (QDB.258),https://doi.org/10.15152/QDB.258,788.T,2024,1,single,,
