inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
DMYHGDXADUDKCQ-UHFFFAOYSA-N,CC(C)(C)c1ccc(CCOc2ncnc3ccccc23)cc1,CC(C)(C)c1ccc(CCOc2ncnc3ccccc23)cc1,120928-09-8,,,fish_acute_lc50,0.15232405858865608,mg/L,-6.303198689467395,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2116394,2013,25,geomean,1.6814925724561323,high_cv
DCNHQNGFLVPROM-QXMHVHEDSA-N,CCCCCCCC/C=C\CCCCCCCCN(C)C,CCCCCCCC\C=C/CCCCCCCCN(C)C.CCCCC/C=C\C\C=C/CCCCCCCCN(C)C.OC(=O)COc1ccc(Cl)cc1Cl.OC(=O)COc2ccc(Cl)cc2Cl,55256-32-1,,,fish_acute_lc50,0.64,mg/L,-5.664118621486416,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2109129,2013,3,single,,
JOMNTHCQHJPVAZ-UHFFFAOYSA-N,CC1CNCCN1,CC1CNCCN1,109-07-9,,,fish_acute_lc50,2240.0,mg/L,-1.650186269064228,,Pimephales promelas,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,102703,2022,2,single,,
YNAVUWVOSKDBBP-UHFFFAOYSA-N,C1COCCN1,C1COCCN1,110-91-8,,,fish_acute_lc50,69.94892371645201,mg/L,-3.0950795966374733,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2026967,2012,21,geomean,0.768159498151906,high_cv
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,Cc1ccccc1,108-88-3,,,fish_acute_lc50,45.78453080858348,mg/L,-3.303364469156887,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,607849,2012,185,geomean,1.1348324565666486,"extreme_variance,high_cv"
WUOACPNHFRMFPN-UHFFFAOYSA-N,CC1=CCC(C(C)(C)O)CC1,CC1=CCC(CC1)C(C)(C)O,8000-41-7,Terpineol,,fish_acute_lc50,6280.000000000057,mg/L,-1.3899437790503673,,Danio rerio,,in_vivo,aquatic,96.0,mortality,EPA Williams Ensemble,Williams et al. (2017),2375742,2006,1,single,,
GDLIGKIOYRNHDA-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,[H+].[Cl-].CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,17321-77-6,Clomipramine hydrochloride,,fish_acute_lc50,24.030299999999997,mg/L,-4.116384750935446,,Danio rerio,,in_vivo,aquatic,96.0,mortality,EPA Williams Ensemble,Williams et al. (2017),2341477,2014,1,single,,
VIPMBJSGYWWHAO-UHFFFAOYSA-N,CC(C)(C)c1ccc(C(N)=O)cc1,CC(C)(C)c1ccc(cc1)C(N)=O,56108-12-4,,,fish_acute_lc50,31.900000000000002,mg/L,-3.7444655532002673,,Pimephales promelas,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2177235,2022,4,geomean,0.0,
GKKDCARASOJPNG-UHFFFAOYSA-N,CC1OC(C)OC(C)OC(C)O1,CC1OC(C)OC(C)OC(C)O1,108-62-3,,,fish_acute_lc50,60.026899103113614,mg/L,-3.467425430002688,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2104498,2013,15,geomean,0.5867402698691564,high_cv
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,[H+].[Cl-].CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2,56296-78-7,,,fish_acute_lc50,0.2026459154536085,mg/L,-6.183408987567174,,Pimephales promelas,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2161708,2013,69,geomean,0.29485150052447634,
KEQGZUUPPQEDPF-UHFFFAOYSA-N,CC1(C)C(=O)N(Cl)C(=O)N1Cl,CC1(C)N(Cl)C(=O)N(Cl)C1=O,118-52-5,,,fish_acute_lc50,1.4561249946347326,mg/L,-5.129014498932153,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2113763,2013,8,geomean,0.6198096477067268,high_cv
BOQSSGDQNWEFSX-UHFFFAOYSA-N,C=C(C)C(=O)OC(C)C,CC(C)OC(=O)C(C)=C,4655-34-9,,,fish_acute_lc50,37.99999999999999,mg/L,-3.527710368543184,,Pimephales promelas,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,102674,2022,4,geomean,0.0,
SJNALLRHIVGIBI-UHFFFAOYSA-N,C=CCC#N,C=CCC#N,109-75-1,,,fish_acute_lc50,181.99999999999997,mg/L,-2.566276863869067,,Pimephales promelas,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,102607,2023,5,geomean,0.0,
BGRWYDHXPHLNKA-UHFFFAOYSA-N,CC(=O)N(CCN(C(C)=O)C(C)=O)C(C)=O,CC(=O)N(CCN(C(C)=O)C(C)=O)C(C)=O,10543-57-4,,,fish_acute_lc50,140.0,mg/L,-3.2120182060234663,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2105847,2013,4,single,,
YGSDEFSMJLZEOE-UHFFFAOYSA-N,O=C(O)c1ccccc1O,[Na+].Oc1ccccc1C([O-])=O,54-21-7,,,fish_acute_lc50,1720.232542419774,mg/L,-1.9043916589251237,,Pimephales promelas,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,31524,2022,11,geomean,0.31649538648009773,
PXZAWHSJYIECNQ-UHFFFAOYSA-N,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,C1CN1[P]2(=N[P](=N[P](=N2)(N3CC3)N4CC4)(N5CC5)N6CC6)N7CC7,52-46-0,,,fish_acute_lc50,34.64101615137755,mg/L,-4.048273778686875,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,600770,2012,6,geomean,0.20203050891044216,
XNWFRZJHXBZDAG-UHFFFAOYSA-N,COCCO,COCCO,109-86-4,,,fish_acute_lc50,464.1588833612782,mg/L,-2.2144464254876834,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2113563,2013,18,geomean,1.6811081367580278,high_cv
ZLIBICFPKPWGIZ-UHFFFAOYSA-N,Cc1cc(C)nc(Nc2ccccc2)n1,Cc1cc(C)nc(Nc2ccccc2)n1,53112-28-0,,,fish_acute_lc50,10.100240730326037,mg/L,-4.294763413908563,,Lepomis macrochirus,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;Lepomis macrochirus,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2115293,2013,19,geomean,0.8861925541773383,high_cv
KYWIYKKSMDLRDC-UHFFFAOYSA-N,CCCCCCCCCC(C)=O,CCCCCCCCCC(C)=O,112-12-9,,,fish_acute_lc50,2.1141896196194674,mg/L,-4.905731572974123,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2117133,2013,8,geomean,0.3431742925123068,
SGTNSNPWRIOYBX-UHFFFAOYSA-N,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,52-53-9,,,fish_acute_lc50,2.72,mg/L,-5.222757731844308,,Oncorhynchus mykiss,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2053329,2012,33,single,,
MZGNSEAPZQGJRB-UHFFFAOYSA-N,CN(C)C(=S)S,[K+].CN(C)C([S-])=S,128-03-0,,,fish_acute_lc50,1.5363753154126771,mg/L,-4.896295196339857,,Pimephales promelas,Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Pimephales;Pimephales promelas,in_vivo,aquatic,96.0,mortality,EPA ECOTOX ASCII,EPA ECOTOX,2109731,2013,24,geomean,1.606400683101125,high_cv
