inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
AACILMLPSLEQMF-UHFFFAOYSA-N,CC[S+]([O-])CCOP(=O)(OC)OC=C(Cl)Cl,COP(=O)(OC=C(Cl)Cl)OCCS(=O)CC,7076-53-1,,,rat_acute_oral_ld50,110.0,mg/kg,-0.4499127379861887,cat3,Rattus norvegicus,Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus,in_vivo,oral,,mortality,NICEATM-ICE-CATMoS,10.1289/EHP8495,7076-53-1,,1,single,,
AADYEFPKZQWOIT-UHFFFAOYSA-N,CN(C)C(=S)c1ccc2c(c1)OCO2,CN(C)C(=S)C1=CC2OCOC=2C=C1,52777-92-1,"Benzamide, N,N-dimethyl-3,4-methylenedioxythio-",,rat_acute_oral_ld50,79.0,mg/kg,-0.42262526108328957,cat3,Rattus norvegicus,Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus,in_vivo,oral,,mortality,NICEATM-ICE-CATMoS,10.1289/EHP8495,DTXSID10200756,,1,single,,
AAFJXZWCNVJTMK-GUCUJZIJSA-N,O[C@H]([C@H](O)[C@@H]1CO1)[C@H]1CO1,"O[C@@H]([C@H]1CO1)[C@H](O)[C@@H]1CO1 |&1:1,2,5,7|",23261-20-3,"1,2:5,6-DIANHYDROGALACTITOL",,rat_acute_oral_ld50,14.0,mg/kg,-1.0183970426132118,cat2,Rattus norvegicus,Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus,in_vivo,oral,,mortality,NICEATM-ICE-CATMoS,10.1289/EHP8495,DTXSID90878831,,1,single,,
AAGFPTSOPGCENQ-JLNYLFASSA-N,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@H]43,6483-15-4,Sophocarpine,,rat_acute_oral_ld50,196.0,mg/kg,-0.09898472322389126,cat3,Rattus norvegicus,Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus,in_vivo,oral,,mortality,NICEATM-ICE-CATMoS,10.1289/EHP8495,DTXSID90215126,,1,single,,
AAHLQODCOIMLFS-UHFFFAOYSA-N,OCC1OC(N2CCN(C3OC(CO)C(O)C(O)C3O)CC2)C(O)C(O)C1O,OC1C(OC(CO)C(O)C1O)N1CCN(CC1)C1OC(CO)C(O)C(O)C1O,73771-25-2,,,rat_acute_oral_ld50,30000.0,mg/kg,1.8641361383863422,cat5,Rattus norvegicus,Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus,in_vivo,oral,,mortality,NICEATM-ICE-CATMoS,10.1289/EHP8495,73771-25-2,,1,single,,
AAOISIQFPPAFQO-UHFFFAOYSA-N,CC(C)(C)CCCCC(=O)O,CC(C)(C)CCCCC(O)=O,59354-78-8,Neononanoic acid,,rat_acute_oral_ld50,2066.0,mg/kg,1.116114179179464,cat5,Rattus norvegicus,Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus,in_vivo,oral,,mortality,NICEATM-ICE-CATMoS,10.1289/EHP8495,DTXSID50208099,,1,single,,
AATNZNJRDOVKDD-UHFFFAOYSA-N,CCOP(=O)(CC)OCC,CCP(=O)(OCC)OCC,78-38-6,Diethyl ethylphosphonate,,rat_acute_oral_ld50,2330.0,mg/kg,1.1470493561376618,cat5,Rattus norvegicus,Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus,in_vivo,oral,,mortality,NICEATM-ICE-CATMoS,10.1289/EHP8495,DTXSID7025051,,1,single,,
AAUXVPAKDMCMMN-UHFFFAOYSA-N,C=Cc1ccc(OCC2CO2)cc1,C=Cc1ccc(cc1)OCC1CO1,2653-39-6,,,rat_acute_oral_ld50,1000.0,mg/kg,0.7542807715793753,cat4,Rattus norvegicus,Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus,in_vivo,oral,,mortality,NICEATM-ICE-CATMoS,10.1289/EHP8495,2653-39-6,,1,single,,
AAYHAFZXFMIUSN-UHFFFAOYSA-N,NS(=O)(=O)C1CCCCC1,NS(=O)(=O)C1CCCCC1,2438-38-2,Cyclohexanesulfonamide,,rat_acute_oral_ld50,80.0,mg/kg,-0.3092752945129279,cat3,Rattus norvegicus,Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus,in_vivo,oral,,mortality,NICEATM-ICE-CATMoS,10.1289/EHP8495,DTXSID80179127,,1,single,,
ABGXADJDTPFFSZ-UHFFFAOYSA-N,c1ccc(CC2CCNCC2)cc1,Cl.C(C1CCNCC1)C1C=CC=CC=1,23239-75-0,4-Benzylpiperidine hydrochloride,,rat_acute_oral_ld50,540.0,mg/kg,0.48901808651583323,cat4,Rattus norvegicus,Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus,in_vivo,oral,,mortality,NICEATM-ICE-CATMoS,10.1289/EHP8495,DTXSID20177809,,1,single,,
